Gene.symbol,adj.P.Val,P.Value,logFC
TRIM59,0.01231771,1.32E-04,1.12
RRAGD,0.01239323,1.33E-04,1.55
DCN,0.01239323,1.33E-04,2.39
,0.01242755,1.34E-04,-9.95E-01
SERPINE2,0.01243252,1.34E-04,2.62
CDH26,0.01244449,1.35E-04,-2.45
SYT17,0.01248919,1.35E-04,-1.49
SLC37A1,0.01254408,1.36E-04,-1.19
FN1,0.01254667,1.36E-04,1.87
CDV3,0.01256639,1.37E-04,8.24E-01
,0.01258867,1.37E-04,-3.35E-01
MIR631///NEIL1,0.01259173,1.38E-04,-1.17
PELI1,0.01259173,1.38E-04,-1.34
ARL4C,0.01273144,1.39E-04,1.39
MSRB3,0.01289121,1.42E-04,2.79
ENAH,0.01289121,1.42E-04,8.82E-01
SEPSECS,0.01289121,1.42E-04,-6.89E-01
TMED7-TICAM2///TICAM2,0.01289662,1.42E-04,1.34
SMAD6,0.01293789,1.43E-04,-1.68
EIF2B2,0.01293789,1.44E-04,7.06E-01
SULT1A2,0.01293789,1.44E-04,-9.92E-01
TNFAIP6,0.01293789,1.44E-04,2.78
PRPS1,0.01293789,1.44E-04,1.33
CYP4Z1,0.01293789,1.45E-04,-6.36E-01
DMXL1,0.01293789,1.45E-04,-1.07
PDLIM2,0.01293789,1.45E-04,1.44
TMCO4,0.01293789,1.45E-04,-1
AHCYL1,0.01294437,1.45E-04,-5.76E-01
SLC23A2,0.01294885,1.45E-04,-1.26
MELK,0.01297562,1.46E-04,1.36
CFLAR,0.01300652,1.47E-04,-1.31
TBC1D8,0.01306687,1.47E-04,-1.49
KDM6B,0.01312389,1.48E-04,-5.63E-01
,0.01312389,1.49E-04,-1.05
CALU,0.01314719,1.49E-04,1.37
,0.01318892,1.50E-04,-2.30E-01
CLK3,0.01320838,1.50E-04,-4.38E-01
PSMG1,0.01320838,1.51E-04,1.08
,0.01320838,1.51E-04,-1.39
COL16A1,0.01321618,1.51E-04,1.63
ELF3,0.01324621,1.52E-04,-2.94
MAFB,0.01328576,1.52E-04,2.37
TOX3,0.01330258,1.53E-04,-4.61
DGKA,0.01349317,1.55E-04,-1.39
,0.01349317,1.55E-04,-8.53E-02
TPM1,0.01350791,1.56E-04,1.93
SMAD3,0.01355347,1.57E-04,-1.42
HEXA,0.01355347,1.57E-04,-6.83E-01
SF3B1,0.01356942,1.57E-04,-4.68E-01
DUSP14,0.01363687,1.58E-04,1.43
GLTP,0.01372594,1.60E-04,-1.07
SEMA3F,0.01372594,1.60E-04,-1.02
BHLHE41,0.01372594,1.60E-04,-1.4
SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3,0.01382172,1.62E-04,-1.04
ALDH1B1,0.01382172,1.62E-04,9.26E-01
,0.0138885,1.63E-04,-9.82E-01
PLXNB1,0.01389695,1.63E-04,-1.46
SPHK1,0.01389695,1.63E-04,1.99
,0.01390981,1.64E-04,-6.35E-01
NPAS2,0.01390981,1.64E-04,-1.91
PRPF40A,0.01390981,1.64E-04,-1.15
USP53,0.01390981,1.65E-04,-1.21
ETV3,0.0139358,1.65E-04,-8.42E-01
MAD2L2,0.0139358,1.65E-04,1.37
ARHGEF28,0.0139358,1.66E-04,-8.98E-01
MGAT2,0.01397841,1.66E-04,7.97E-01
CCDC88A,0.01399059,1.67E-04,1.61
IREB2,0.01406736,1.68E-04,-1.51
TUBA1A,0.01406736,1.69E-04,1.38
SULT1A2,0.01406736,1.69E-04,-7.99E-01
DCN,0.01406736,1.69E-04,2.05
KLHDC7A,0.01406736,1.69E-04,-2.34
MYLK,0.01413518,1.70E-04,2.16
PLA2G6,0.01414934,1.71E-04,-3.52E-01
TUBB6,0.01414934,1.71E-04,2.02
LONRF1,0.01418928,1.72E-04,-1.03
ZSCAN18,0.01422369,1.72E-04,-8.71E-01
ZSCAN9,0.01422369,1.72E-04,-7.29E-01
CAPS,0.01426158,1.73E-04,-2.11
,0.01429805,1.74E-04,-9.79E-01
ZDHHC13,0.01447129,1.76E-04,-1.47
IFT27,0.01470144,1.79E-04,-5.40E-01
CKS2,0.01470527,1.80E-04,1.31
GPX2,0.01470527,1.80E-04,-4.25
HOXB3,0.01470527,1.81E-04,-1.86
,0.01470527,1.81E-04,-1.21
CARD11,0.01470527,1.81E-04,-1.24
PLXNC1,0.01470527,1.81E-04,2.29
SLC9A2,0.01470577,1.81E-04,-1.47
FAM20C,0.01470577,1.82E-04,2.02
PDLIM3,0.01470629,1.82E-04,3.02
GTF2IP20,0.01471286,1.82E-04,-6.34E-01
,0.01471286,1.82E-04,-7.63E-01
NR5A2,0.01475813,1.83E-04,-5.25E-01
C1R,0.01481108,1.84E-04,2.08
SLC16A1,0.01481108,1.85E-04,2.73
TOX3,0.01481108,1.85E-04,-4.21
RPH3AL,0.01481777,1.85E-04,-7.67E-01
FAM13A-AS1,0.01484686,1.86E-04,-1.89
,0.01484686,1.86E-04,-9.22E-01
BARD1,0.01484686,1.87E-04,1.02
,0.01484686,1.87E-04,-2.12
NSMCE4A,0.01490008,1.87E-04,-1.1
LOC100996412,0.0149106,1.88E-04,-7.82E-01
LOC101930112///SPG7,0.01500266,1.89E-04,-1.28
SLC16A5,0.01502216,1.90E-04,-1.47
DLGAP1-AS2,0.01502216,1.90E-04,-2.61E-01
,0.01508808,1.92E-04,-6.92E-01
,0.01508808,1.92E-04,-8.06E-03
RABEPK,0.01508808,1.92E-04,1.02
ADGRF1,0.0151636,1.93E-04,-2.19
KLF13,0.0152711,1.95E-04,1.62
POU3F1,0.01534575,1.96E-04,-8.78E-01
,0.01536012,1.96E-04,-5.72E-01
FAAH,0.01548921,1.98E-04,-7.98E-01
,0.01565856,2.01E-04,-1
ATAT1,0.01567536,2.01E-04,-1.18
ACAT1,0.01568777,2.02E-04,1.77
CAPS,0.01570651,2.02E-04,-2.31
NOL12,0.01573001,2.03E-04,-7.19E-01
LOC645513,0.01573721,2.03E-04,-9.04E-01
BTG3,0.01573721,2.03E-04,-1.45
,0.01577297,2.04E-04,-6.86E-01
NOL4L,0.01577773,2.05E-04,-1.76
RPAIN,0.01577773,2.05E-04,-1.5
FGD5,0.01577973,2.05E-04,-8.28E-01
DENND2D,0.01578167,2.06E-04,-2.06
SLC30A4,0.01584373,2.07E-04,1.63
MYH14,0.01592515,2.08E-04,-1.89
,0.01596183,2.09E-04,-1.48
,0.01597824,2.09E-04,-8.36E-01
PRDX6,0.01599354,2.10E-04,5.49E-01
CDCA5,0.01610947,2.12E-04,1.18
NPAS2,0.01622128,2.13E-04,-7.04E-01
PRDX6,0.01622212,2.14E-04,6.76E-01
,0.01626294,2.15E-04,-9.60E-02
,0.01626294,2.15E-04,-9.42E-01
,0.01630204,2.16E-04,-1.42
SFT2D1,0.01636697,2.17E-04,-2.25E-02
KATNAL1,0.01653118,2.19E-04,1.72
TRAK1,0.01655661,2.20E-04,-2.13
,0.01656763,2.20E-04,-8.08E-01
CASZ1,0.01662294,2.22E-04,-5.33E-01
ANTXR1,0.01662294,2.22E-04,1.27
NSUN7,0.01668434,2.23E-04,-8.80E-01
PIK3C2B,0.01674198,2.24E-04,-1.91
LHX3,0.01674603,2.24E-04,-1.12E-01
MRPL9,0.01686989,2.26E-04,8.53E-01
IL1A,0.01686989,2.26E-04,-3.76E-01
BAIAP2L1,0.01687271,2.27E-04,-1.05
CNN3,0.01687936,2.27E-04,1.03
,0.01690001,2.28E-04,-1.33
FAP,0.01691791,2.28E-04,2.67
ADAMTS2,0.01699023,2.30E-04,2.82
,0.01704131,2.31E-04,-5.53E-01
LOC101928605///OR2A1-AS1///OR2A9P///OR2A20P,0.0171105,2.32E-04,-1.2
,0.01712829,2.33E-04,-1.63
8-Sep,0.01712829,2.33E-04,-3.87E-01
MT1F,0.01712829,2.33E-04,2.29
ACSF3,0.01723763,2.35E-04,-1.26E-01
AADAT,0.01737085,2.37E-04,-9.52E-01
MMRN2,0.01737502,2.37E-04,-1.34
DDI2///RSC1A1,0.0174452,2.39E-04,-8.43E-01
PHF19,0.0174452,2.39E-04,1.3
,0.01747628,2.40E-04,-7.13E-01
FMNL2,0.01747628,2.40E-04,1.48
VEGFA,0.01747628,2.41E-04,-1.29
PPP1R18,0.01747628,2.41E-04,1.48
ZCCHC8,0.01747628,2.41E-04,-4.09E-01
BCLAF1,0.01747628,2.41E-04,-6.06E-01
LOC100507577///LONP2,0.01748081,2.42E-04,-1.28
LOC100507577///LONP2///SIAH1,0.01748081,2.42E-04,-1.3
,0.01771439,2.46E-04,-9.60E-01
TMEM178A,0.01771439,2.46E-04,-1.29
THBS2,0.01779855,2.47E-04,2.89
SERINC2,0.01780467,2.48E-04,-2.48E-01
RNF10,0.01781865,2.48E-04,-8.62E-01
PAN2,0.01787219,2.50E-04,-1.16
UCA1,0.01787219,2.50E-04,-3.33
,0.01788894,2.50E-04,-2.17E-01
RNF123,0.01788894,2.51E-04,-4.06E-01
COL8A2,0.01790568,2.51E-04,1.6
PDIA6,0.01790568,2.52E-04,1.09
NPC1,0.01791687,2.52E-04,1.29
NAPEPLD,0.01795409,2.53E-04,-9.44E-01
MMD,0.01805299,2.55E-04,1.66
BMP2K,0.01808225,2.55E-04,1.5
GLCCI1,0.0180931,2.56E-04,-6.56E-01
RRN3P1,0.0180931,2.56E-04,-5.54E-01
ZNF615,0.0180931,2.57E-04,-1.12
,0.0180931,2.57E-04,-5.34E-01
KIF4A,0.01812987,2.58E-04,1.82
KNL1,0.01816283,2.59E-04,1.32
ORC2,0.01816283,2.59E-04,-6.44E-01
RALGAPA2,0.01821518,2.60E-04,-2.31
NCBP3,0.01821971,2.60E-04,-9.38E-01
RASSF8,0.01821971,2.61E-04,1.86
MTSS1L,0.01821971,2.61E-04,-1.41
SEMA4A,0.01823952,2.62E-04,-8.79E-01
NR3C1,0.01824633,2.62E-04,2.29
SAMD12,0.018332,2.64E-04,-2.14
FBXL14,0.01837459,2.64E-04,-4.25E-01
FBXW4P1,0.01841348,2.65E-04,-6.64E-01
KLHL5,0.01842902,2.66E-04,1.76
CLCN3,0.01842902,2.66E-04,-1.29
,0.01853578,2.68E-04,-1.48
,0.01855648,2.69E-04,-7.89E-02
MYH14,0.01857247,2.69E-04,-2.19
BICDL2,0.01857509,2.70E-04,-1.39
COL10A1,0.01858661,2.70E-04,3.37
RAPGEFL1,0.01863937,2.71E-04,-2.37
,0.01869573,2.73E-04,-8.70E-01
NSUN4,0.01869573,2.73E-04,-6.67E-01
CAPS,0.01871214,2.73E-04,-2.71
,0.01871577,2.74E-04,-5.24E-01
LAMP2,0.01871577,2.74E-04,8.81E-01
,0.01871577,2.75E-04,-7.67E-01
GLIPR2,0.01871931,2.75E-04,1.67
HMGCS2,0.01880562,2.77E-04,-3.76
CCDC71L,0.01901161,2.80E-04,1.68
EPB41L1,0.01901181,2.80E-04,-1.61
NEXN,0.01908498,2.82E-04,2.71
TGFBI,0.01908498,2.82E-04,2.06
,0.01908498,2.83E-04,-9.39E-02
MT1X,0.01908498,2.83E-04,2.04
OFD1,0.01908836,2.84E-04,-6.00E-01
GON7,0.01908836,2.84E-04,1.22
,0.01908836,2.84E-04,-1.78E-01
FLNA,0.0191393,2.85E-04,1.78
FRY,0.01924508,2.87E-04,-2.31
FTL,0.0192866,2.88E-04,7.88E-01
,0.01929209,2.88E-04,-1.56
SULF1,0.01932439,2.89E-04,2.84
FGF7P3///FGF7P6///FGF7,0.01935211,2.90E-04,2.02
,0.01935211,2.91E-04,-7.76E-01
TNC,0.01935211,2.91E-04,2.79
TMEM45B,0.01949873,2.93E-04,-3.02
ZKSCAN1,0.01951389,2.94E-04,-8.14E-01
CDKN3,0.01952436,2.94E-04,1.9
KDM6B,0.01955808,2.95E-04,-1
DENND4A,0.01955808,2.96E-04,-5.06E-01
DSC2,0.01955808,2.96E-04,2.61
,0.01958426,2.97E-04,8.66E-01
C10orf12,0.01959571,2.97E-04,-9.71E-01
MAD2L1,0.01959571,2.98E-04,1.54
TAF1C,0.01959571,2.98E-04,-7.78E-01
SCRN1,0.01965801,2.99E-04,1.64
,0.01974015,3.01E-04,-1.12
,0.01974015,3.01E-04,-9.60E-01
HIP1R,0.02006553,3.06E-04,-1.17
TPX2,0.02006553,3.07E-04,1.52
MSRB3,0.02015199,3.08E-04,2.2
CDKN3,0.02021427,3.10E-04,2.4
,0.02022045,3.10E-04,-9.78E-01
WDR73,0.0202353,3.11E-04,-5.05E-01
PGM5-AS1,0.02025521,3.12E-04,-1.1
KIF14,0.02025542,3.12E-04,1.47
SPOCD1,0.02025542,3.12E-04,-1.84
FAM129A,0.02025542,3.13E-04,1.56
FAM221A,0.02027947,3.13E-04,-1.67
NUF2,0.02030392,3.14E-04,1.67
GPSM2,0.02044762,3.17E-04,1.27
,0.02045231,3.17E-04,-7.10E-02
MMRN2,0.02050279,3.18E-04,-2.08
PAIP1,0.02056457,3.20E-04,8.58E-01
HS6ST3,0.02059278,3.21E-04,-2.25
MKI67,0.02060457,3.21E-04,1.1
,0.02062291,3.22E-04,-1.76E-01
BCAT1,0.02062291,3.22E-04,2.44
PCYOX1L,0.02066615,3.23E-04,-8.77E-01
AZI2,0.02066615,3.24E-04,1.12
PSRC1,0.02070691,3.25E-04,1.67
MARK4,0.02072165,3.26E-04,-5.89E-01
FAM72A///FAM72D///FAM72B///FAM72C,0.02072165,3.26E-04,1.65
,0.02072165,3.26E-04,1.87
PRICKLE2,0.02072946,3.27E-04,1.3
AFF4,0.02072946,3.27E-04,-6.34E-01
DSE,0.02072946,3.27E-04,2.15
SIDT1,0.02074617,3.28E-04,-1.43
SLC44A4,0.02095212,3.32E-04,-2.07
SGPL1,0.02095212,3.32E-04,-1.2
YWHAH,0.02095212,3.32E-04,1.08
BTBD18,0.02103191,3.34E-04,-4.79E-01
ELAVL1,0.02104638,3.35E-04,-7.48E-01
MAL,0.02118607,3.38E-04,-3.04
YKT6,0.02118607,3.38E-04,9.28E-01
,0.02118607,3.38E-04,-1.11
VKORC1,0.02121068,3.39E-04,1.09
FARP2,0.02121068,3.39E-04,-9.28E-01
,0.02121388,3.39E-04,-1.05
UBE2E2,0.02122068,3.40E-04,2.08
BUB1B,0.02122068,3.40E-04,1.3
,0.02125159,3.42E-04,-1.56
PSMB5,0.02125159,3.42E-04,6.48E-01
TRIM2,0.02126186,3.42E-04,-1.57
TRIM2,0.02135924,3.44E-04,-1.35
,0.02135924,3.45E-04,2.73
,0.02142706,3.47E-04,-6.79E-01
STK24,0.02142706,3.47E-04,-7.23E-01
PSPH,0.02142706,3.47E-04,1.24
TRERF1,0.02143459,3.48E-04,-1.85
TRPC1,0.02143459,3.48E-04,1.7
ARL4C,0.02143459,3.48E-04,1.97
PTRF,0.02143459,3.49E-04,1.48
MYO5A,0.02143459,3.49E-04,1.8
AES,0.02143459,3.49E-04,-7.91E-01
COL6A3,0.02157527,3.52E-04,1.69
ZNF10,0.02161198,3.53E-04,-8.50E-01
LOC100288490,0.02161198,3.53E-04,-1.69E-01
,0.0216735,3.55E-04,-2.32E-01
GLIPR2,0.02171534,3.56E-04,1.88
ME3,0.02171861,3.56E-04,-1.59
MYOF,0.02173464,3.57E-04,-9.56E-01
SUB1,0.02173464,3.57E-04,4.91E-01
CAPN5,0.02176703,3.58E-04,-7.73E-01
PELI1,0.02196384,3.62E-04,-7.14E-01
DZIP1,0.02197278,3.62E-04,1.4
,0.0220035,3.63E-04,-5.07E-01
ANGPT2,0.02203626,3.64E-04,-1.55
ALDH1L2,0.02204151,3.65E-04,1.93
SNCG,0.02204151,3.65E-04,-2.45
PRICKLE1,0.0220466,3.66E-04,1.35
ZNF816-ZNF321P///ZNF321P,0.02217586,3.68E-04,-4.41E-01
,0.02218295,3.69E-04,-5.18E-01
SAC3D1,0.02234309,3.72E-04,1
FLYWCH1,0.02241203,3.74E-04,-5.70E-01
PITPNA,0.02241203,3.74E-04,-5.94E-01
C20orf27,0.02241203,3.74E-04,7.97E-01
FZD2,0.02241203,3.75E-04,1.64
FAM214A,0.02241203,3.75E-04,-1.29
PSMA5,0.02249064,3.77E-04,-1.08
PALLD,0.02252022,3.78E-04,1.41
IYD,0.02252022,3.78E-04,-7.53E-01
PGM2L1,0.02252022,3.79E-04,1.54
MOCS1,0.02255898,3.80E-04,-8.41E-02
DNAJA4,0.02255898,3.81E-04,-1.81
,0.02255898,3.81E-04,-5.45E-01
HPGD,0.02255898,3.81E-04,-2.72
TMC4,0.02255898,3.82E-04,-2.45
ACSL5,0.02255898,3.82E-04,-2.08
TRIOBP,0.02256426,3.82E-04,-8.74E-01
MPPED2,0.02256426,3.83E-04,-1.19
DOCK6,0.02256426,3.83E-04,-1.21
LRRC15,0.02256426,3.83E-04,2.57
COL1A2,0.02262453,3.85E-04,2.78
FBXO5,0.02270006,3.87E-04,1.51
GNA12,0.02270006,3.87E-04,9.42E-01
SMIM14,0.02270006,3.87E-04,-6.66E-01
CDK10,0.02271764,3.88E-04,-6.03E-01
SGTB,0.02272727,3.89E-04,1.57
ARHGAP32,0.02275,3.90E-04,-1.59
,0.02275,3.90E-04,-1.19
CKS1B,0.02289342,3.93E-04,1.3
NAPEPLD,0.02290379,3.94E-04,-7.72E-01
TMEM200A,0.02290379,3.94E-04,2.43
LOC284219,0.02290379,3.95E-04,-1.29
TNFRSF25,0.02290379,3.95E-04,-5.40E-01
CTSL,0.02290379,3.95E-04,1.29
TP53BP1,0.02290379,3.95E-04,-7.46E-01
HPS1,0.02296431,3.97E-04,-2.90E-01
,0.02299375,3.98E-04,-1.17
LUC7L,0.02308311,4.00E-04,-1.65
SOCS5,0.02309475,4.01E-04,8.71E-01
SP1,0.02309475,4.01E-04,-5.34E-01
,0.02309475,4.02E-04,-1.44
,0.02309475,4.02E-04,-1.86
DCBLD2,0.02327601,4.05E-04,2.4
C3orf80,0.02334289,4.07E-04,1.7
OXCT1,0.02337751,4.08E-04,1.71
ARHGAP32,0.02337751,4.08E-04,-9.67E-01
,0.02349386,4.11E-04,-8.22E-01
PAIP1,0.02364307,4.14E-04,8.56E-01
AZI2,0.02364307,4.15E-04,5.24E-01
FKBP10,0.02364307,4.15E-04,1.48
PANX1,0.02364307,4.15E-04,1.41
,0.02364307,4.16E-04,-8.07E-01
SORL1,0.02372001,4.17E-04,-1.76
ARSK,0.02372001,4.18E-04,1.05
INHBA,0.02372001,4.18E-04,2.69
VEGFA,0.02377009,4.20E-04,-1.02
ECHDC2,0.02377009,4.20E-04,-1.08
,0.02382496,4.22E-04,-1.07
RAB11FIP1,0.02382496,4.22E-04,-1.48
,0.02386651,4.24E-04,-2.22E-01
SIM2,0.02386651,4.24E-04,-1.35
ENTPD4,0.02386651,4.25E-04,-8.94E-01
LOC284080,0.02386651,4.25E-04,-7.91E-03
FAM214A,0.02386651,4.25E-04,-1.03
CSNK1A1,0.02386651,4.26E-04,-8.97E-01
AAGAB,0.02386651,4.26E-04,-5.20E-01
WDHD1,0.02386651,4.26E-04,1.04
YME1L1,0.02386651,4.26E-04,6.14E-01
ALYREF,0.02399035,4.29E-04,1.1
TDP1,0.02400197,4.30E-04,5.56E-01
CACYBP,0.02402518,4.31E-04,9.01E-01
TMEM8B,0.02409171,4.32E-04,-2.11E-01
CCNT2,0.02409171,4.33E-04,-8.14E-01
YME1L1,0.02409171,4.34E-04,8.31E-01
,0.02409171,4.34E-04,-1.89
TRIM62,0.02409171,4.34E-04,-4.78E-01
SCD5,0.02433375,4.39E-04,1.96
ODF2L,0.02433375,4.39E-04,-4.46E-01
CSE1L,0.02434359,4.40E-04,-8.39E-01
SNORD14D///SNORD14C///HSPA8,0.02434359,4.40E-04,5.74E-01
PDGFC,0.02435339,4.41E-04,2.29
,0.02441295,4.42E-04,-4.99E-01
,0.02450524,4.45E-04,-1.35
GULP1,0.02450524,4.45E-04,2.34
REV1,0.02457487,4.47E-04,-8.77E-01
MYLIP,0.0246712,4.49E-04,-1.47
,0.02467962,4.50E-04,-3.24E-01
ABLIM1,0.02471401,4.51E-04,-8.81E-01
PDSS1,0.02472738,4.51E-04,-9.61E-02
NUSAP1,0.0248941,4.55E-04,9.46E-01
C4orf19,0.02494661,4.56E-04,-2.05
ZNF710,0.02501688,4.58E-04,-6.52E-01
COL12A1,0.0250267,4.59E-04,2.6
OSBPL2,0.02508511,4.60E-04,-8.18E-01
TMC7,0.02514498,4.62E-04,-4.28E-01
ANKRD11,0.02531807,4.65E-04,-6.08E-01
TUBA1C,0.02535277,4.66E-04,3.64E-01
,0.02548723,4.69E-04,-7.97E-02
MFAP3L,0.02551667,4.71E-04,-2.57
EMILIN1,0.02551667,4.71E-04,2.04
CRTAP,0.02552891,4.72E-04,1.04
PPP1R14D,0.02568677,4.75E-04,-9.45E-01
CISD1,0.02571464,4.76E-04,8.61E-01
KIAA1468,0.02577313,4.78E-04,-8.07E-01
ACSF2,0.02577313,4.78E-04,-1.3
COL12A1,0.02577313,4.79E-04,1.83
LPCAT4,0.02577313,4.80E-04,-1.19
ELF3,0.02577313,4.80E-04,-2.1
ARHGAP32,0.02577313,4.80E-04,-1.65
PAPSS2,0.02577313,4.80E-04,1.71
GXYLT2,0.02580919,4.82E-04,1.95
GDF15,0.02580919,4.82E-04,-2.76
FAM129A,0.02582956,4.83E-04,1.56
C11orf57,0.02582956,4.83E-04,-4.93E-01
GAREM1,0.02583052,4.84E-04,-1.94
CDC20,0.02593684,4.86E-04,1.65
ZKSCAN5,0.02598031,4.88E-04,3.18E-01
SLC12A8,0.02598031,4.88E-04,1.85
CENPL,0.02617353,4.92E-04,8.90E-01
ANXA6,0.02617353,4.93E-04,1.64
TUBA1B,0.02618745,4.93E-04,3.29E-01
,0.02618745,4.94E-04,-2.09
RRBP1,0.02626459,4.96E-04,-2.47E-01
FLJ10038,0.0262646,4.96E-04,-8.93E-01
DHRS2,0.02635702,4.98E-04,-4.03
C19orf18,0.02646951,5.01E-04,-8.63E-01
PWAR6,0.02646951,5.02E-04,-1.8
LRRC58,0.02657959,5.04E-04,7.59E-01
ZNF552,0.02657959,5.05E-04,-9.59E-01
TOB1,0.02665558,5.07E-04,-1.04
RGS4,0.02665558,5.07E-04,2.27
ANP32E,0.02665558,5.08E-04,7.44E-01
ZBTB7A,0.02666002,5.08E-04,-7.03E-01
NFAT5,0.02683464,5.12E-04,-1.86
RAPGEF2,0.02688141,5.13E-04,-1.57
STX5,0.02709949,5.18E-04,7.07E-01
TUBA1B,0.02709949,5.18E-04,3.86E-01
,0.02717386,5.21E-04,-3.37E-01
ALS2CL,0.02717386,5.21E-04,-9.74E-01
,0.02717386,5.21E-04,-1.49
BCAT1,0.02717486,5.22E-04,2.55
LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW,0.02729408,5.25E-04,-3.68E-01
BRAF,0.02729408,5.26E-04,-1.03
,0.02729408,5.26E-04,-9.71E-01
ADGRF1,0.02733404,5.27E-04,-2.1
CYP3A43,0.0274626,5.30E-04,-1.23E-01
NFIL3,0.02747123,5.31E-04,1.48
,0.02752693,5.33E-04,-1.23
EPHA2,0.02752693,5.33E-04,-1.8
CEP55,0.02762151,5.35E-04,1.57
,0.02762495,5.36E-04,-1.35
CCNA2,0.02762495,5.36E-04,1.03
,0.02762495,5.37E-04,-1.48
,0.02762495,5.37E-04,2.67
PSMB2,0.02762495,5.38E-04,5.50E-01
GSDMB,0.02762495,5.39E-04,-1.63
RAB23,0.02762495,5.39E-04,1.25
HECTD2,0.02762495,5.40E-04,1.44
VEGFA,0.02762495,5.40E-04,-1.44
ASPN,0.02762495,5.40E-04,2.15
ARSD,0.02768864,5.42E-04,-1.08
PLEKHO1,0.02775021,5.44E-04,1.23
,0.02775021,5.44E-04,-9.53E-01
,0.02775021,5.45E-04,1.57
RAD51-AS1,0.02778,5.46E-04,-8.41E-01
NLRP1,0.02781341,5.47E-04,-1.03
MAGEH1,0.02782253,5.48E-04,1.36
AFG3L1P,0.0279277,5.50E-04,-1.11
POF1B,0.02805958,5.53E-04,-1.76
GTF2IP4///GTF2IP1///GTF2I,0.02806537,5.54E-04,-5.90E-01
MMP11,0.02806537,5.54E-04,2.86
DIXDC1,0.02824034,5.58E-04,1.6
CENPI,0.0282454,5.59E-04,1.04
ECHDC2,0.02830955,5.61E-04,-1.33
TTC12,0.02830955,5.62E-04,-6.59E-01
SLC44A3,0.02830955,5.62E-04,-2.21
TPM1,0.02830955,5.63E-04,1.2
NCL,0.02830955,5.63E-04,4.72E-01
VPS13D,0.02837043,5.65E-04,-8.56E-01
SECISBP2L,0.02837983,5.65E-04,-8.96E-01
NSUN6,0.02838044,5.66E-04,-1.04
MAFF,0.02838044,5.66E-04,-1.27
,0.02839297,5.67E-04,-1.33
PRKCDBP,0.0284005,5.68E-04,1.76
REN,0.02840461,5.68E-04,-1.06
ERBB3,0.02845624,5.70E-04,-2.31
FZD3,0.02853753,5.72E-04,-8.42E-01
OGFRL1,0.02853753,5.73E-04,1.37
ZNF614,0.02862724,5.75E-04,-8.31E-01
MT1HL1,0.02862724,5.76E-04,1.64
,0.02862724,5.76E-04,-1.3
ERBB3,0.02864475,5.77E-04,-2.17
SCNN1A,0.02864475,5.78E-04,-2.97
MAP4,0.02864475,5.78E-04,7.37E-01
PELI1,0.02865591,5.79E-04,-1.69
OBFC1,0.02867688,5.80E-04,-4.97E-01
PTK2,0.02876167,5.82E-04,-6.98E-01
AP1S2,0.02876167,5.83E-04,1.89
,0.02876167,5.84E-04,-1.14
PRC1,0.02876167,5.84E-04,1.25
DOPEY1,0.02876167,5.84E-04,-8.97E-01
ABCC10,0.02883862,5.86E-04,-7.19E-01
GAREM1,0.02883862,5.87E-04,-2.17
PPID,0.028904,5.88E-04,-6.35E-01
RNF144A,0.02906693,5.92E-04,1.39
UPK1A,0.02909197,5.93E-04,-3.57
PLCH2,0.02909372,5.94E-04,-6.47E-01
VCAN,0.02909372,5.95E-04,2.57
SPTBN1,0.02909372,5.95E-04,1.38
COL1A2,0.02909372,5.95E-04,1.34
VCAN,0.02917413,5.98E-04,2.72
NFAT5,0.02917413,5.98E-04,-1.31
ZFAS1,0.02921333,5.99E-04,-1.17
,0.02924415,6.01E-04,-3.59E-01
F5,0.02930421,6.03E-04,-3.17E-01
MYH14,0.02930421,6.03E-04,-1.52
CAPN3,0.02930421,6.04E-04,-6.73E-01
,0.02930421,6.04E-04,-1.09
COMP,0.02930421,6.05E-04,2.83
MYBL2,0.02930421,6.06E-04,1.24
CCDC71L,0.02930421,6.06E-04,1.88
MCFD2,0.02930421,6.07E-04,7.68E-01
RABEP2,0.02930421,6.07E-04,-1.24
,0.02930421,6.08E-04,-1.21
COLEC12,0.02930421,6.08E-04,2.02
PROM2,0.02932691,6.09E-04,-5.81E-01
CHST11,0.02932691,6.10E-04,1.87
KPNA2,0.02932691,6.10E-04,6.21E-01
,0.02933455,6.11E-04,-2.80E-01
,0.02937904,6.12E-04,-4.31E-02
,0.02948495,6.15E-04,-2.37E-01
TMPRSS2,0.02954908,6.17E-04,-2.22
ZMYND8,0.02954908,6.17E-04,-9.92E-01
SEMA6A,0.029555,6.18E-04,-2.84
BMP7,0.02955879,6.18E-04,-1.65
PAPSS2,0.02958647,6.20E-04,1.72
UGT1A3///UGT1A1///UGT1A9///UGT1A5///UGT1A8,0.02974192,6.23E-04,-2.48
WDHD1,0.02974192,6.24E-04,1.2
RIC1,0.02974327,6.25E-04,8.08E-01
FLJ10038,0.02992171,6.29E-04,-7.00E-01
,0.02992171,6.29E-04,-5.25E-01
,0.02992171,6.30E-04,-5.54E-01
MMAA,0.02999992,6.33E-04,-9.21E-01
DPP8,0.02999992,6.33E-04,-5.19E-01
GEMIN2,0.02999992,6.33E-04,8.94E-01
